"Data d'inizio";"Data di conclusione";"Rapporto completo";"Stato";"Titolo";"Descrizione";"Livello dell'attività";"Causa";"Tipo di progetto";"Attività distintiva";"Finanziata con il contributo della LCIF";"Persone servite";"Persone servite - Limite massimo";"Totale volontari";"Totale ore di servizio";"Total Volunteer Hours - Capped";"Totale fondi donati Valuta";"Totale fondi donati";"Total Funds Donated (USD) - Capped";"Donazione alla LCIF";"Organizzazione beneficiata";"Totale fondi raccolti Valuta";"Totale fondi raccolti";"Total Funds Raised (USD) - Capped";"Alberi piantati/curati";"Creato da: Nome completo";"ID attività di servizio";"Zona dello sponsor";"Circoscrizione sponsor";"Sponsor: ID del profilo";"Sponsor: ID dell?organizzazione di appartenenza";"Sponsor: Parent Parent Id";"MD sponsor";"Distretto sponsor";"Sponsor: Nome account"
"01/07/2024";"30/06/2025";"1";"Comunicato";"Foundation Annual Report: 41^ Campionati Italiani Sci Lions Open";"L'attività posta in essere -oltre a creare ed implementare una rete amicale e collaborativa tra i Soci dei diversi Clubs partecipanti- è utile a raccogliere fondi destinati a sostenere economicamente alcune importanti realtà locali bisognose di un supporto.";"Lions Club";"Altro servizio umanitario";"Altro";"0";"0";"130";"130";"13";"55,00";"55,00";"USD";"6000,00";"6000,00";"0";"Not specified";"USD";"6000,00";"6000,00";"";"Sara Glas";"SA-07746420";"Zone: F";"3° Circoscrizione";"001Ns00000EDlQtIAL";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ABETONE MONTAGNA PISTOIESE"
"25/07/2025";"25/07/2025";"1";"Comunicato";"DIRETTIVO";"Direttivo con sede al Ristorante Il Leccio Massa M/Ma. 
Approvato status di socio aggregato per Cavagna e Maestrini, illustrato organigramma di Club e l'annata sociale 2025-2026";"Lions Club";"Amministrazione";"Attività di rafforzamento del club";"0";"0";"0";"0";"9";"27,00";"27,00";"USD";"0,00";"0,00";"0";"";"USD";"0,00";"0,00";"";"Adriano Mazzone";"SA-07634021";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"05/07/2025";"05/07/2025";"1";"Comunicato";"RIUNIONE DELLE CARICHE - TORRE DEL LAGO";"Partecipazione alla riunione delle cariche del Presidente, Segretario, Presidente di Zona, DO Puggelli e DO Aguggeri";"Lions Club";"Amministrazione";"Attività di rafforzamento del club";"0";"0";"";"0";"5";"35,00";"35,00";"";"";"0,00";"0";"";"";"";"0,00";"";"Maurizio Spagnesi";"SA-07636649";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"10/07/2025";"10/07/2025";"1";"Comunicato";"RIUNIONE DIRETTIVO DI CLUB";"Riunione del Direttivo ristretto di Club, Presidente, Segretario, Tesoriere e Cerimoniere per definire il programma dell'anno";"Lions Club";"Amministrazione";"Attività di rafforzamento del club";"0";"0";"";"0";"4";"12,00";"12,00";"";"";"0,00";"0";"";"";"";"0,00";"";"Maurizio Spagnesi";"SA-07636661";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"17/07/2025";"17/07/2025";"1";"Comunicato";"INCONTRO CON SINDACO MASSA MARITTIMA";"Incontro del presidente e del segretario di Club con il Sindaco di Massa M/ma per definire la data e l'argomento da sviluppare per il Meeting di apertura di ottobre.";"Lions Club";"Amministrazione";"Attività di rafforzamento del club";"1";"0";"";"0";"2";"4,00";"4,00";"";"";"0,00";"0";"";"";"";"0,00";"";"Maurizio Spagnesi";"SA-07661519";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"01/07/2025";"27/07/2025";"1";"Comunicato";"Massadotta attività sanitarie gratuite";"fornire attività di supporto ambulatoriale di tipo psicologico (Achille Aguggeri) a persone non abbienti in centro sanitario per il quale forniamo il direttore sanitario (Maurizio Spagnesi)";"Lions Club";"Altro servizio umanitario";"Attività per altri servizi sanitari";"1";"0";"20";"20";"2";"24,00";"24,00";"EUR";"3000,00";"3516,38";"0";"Massadotta";"EUR";"3000,00";"3516,38";"";"Maurizio Spagnesi";"SA-07703542";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"08/08/2025";"08/08/2025";"1";"Comunicato";"Riunione di Club";"Riunione del Presidente con il segretario ed il Cerimoniere per definire programma della gita sociale ed attività su Follonica";"Lions Club";"Amministrazione";"Attività di rafforzamento del club";"0";"0";"0";"0";"3";"6,00";"6,00";"USD";"0,00";"0,00";"0";"";"USD";"0,00";"0,00";"";"Maurizio Spagnesi";"SA-07802622";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"04/09/2025";"04/09/2025";"1";"Comunicato";"Direttivo di Club";"Direttivo di Club che si è tenuto presso il ristorante Montecristo a Follonica. Odg: approvazione bilanci definitivo annata 2024-2025 e preventivo annata 2025-2026. Tutti approvati all'unanimità";"Lions Club";"Amministrazione";"Attività di rafforzamento del club";"0";"0";"";"0";"15";"45,00";"45,00";"";"";"0,00";"0";"";"";"";"0,00";"";"Maurizio Spagnesi";"SA-08097695";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"13/09/2025";"13/09/2025";"1";"Comunicato";"Gabinetto Distrettuale";"Partecipazione dei soci Mazzone, Bernardini, Puggelli ed Aguggeri al Gabinetto Distrettuale a Chiusi";"Lions Club";"Amministrazione";"Attività di rafforzamento del club";"0";"0";"";"0";"4";"20,00";"20,00";"";"";"0,00";"0";"";"";"";"0,00";"";"Maurizio Spagnesi";"SA-08097753";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"13/09/2025";"13/09/2025";"1";"Comunicato";"TAVOLATA CROCE ROSSA";"Raccolta fondi con cena benefica a favore della Croce Rossa di Follonica tenutasi presso la Fonderia n. 1 ex Ilva";"Lions Club";"Altro servizio umanitario";"Attività per altri servizi sanitari";"0";"0";"";"0";"16";"48,00";"48,00";"EUR";"400,00";"465,95";"0";"Croce Rossa Follonica";"EUR";"400,00";"465,95";"";"Maurizio Spagnesi";"SA-08097795";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
"01/09/2025";"30/09/2025";"1";"Comunicato";"Massadotta attività sanitarie gratuite";"i soci Maurizio Spagnesi ed Achille Aguggeri svolgono rispettivamente attività di Direttore Sanitario e di Psicologo presso la struttura sanitaria di Massadotta in forma totalmente gratuita";"Lions Club";"Altro servizio umanitario";"Attività per altri servizi sanitari";"1";"0";"20";"20";"2";"24,00";"24,00";"EUR";"3000,00";"3494,64";"0";"Massadotta";"EUR";"3000,00";"3494,64";"";"Maurizio Spagnesi";"SA-08098018";"Zone: M";"6° circoscrizione";"001Ns00000EDlROIA1";"001Ns00000EDgRMIA1";"001Ns00000EDcoVIAT";"Multiple District 108";"District 108 LA";"ALTA MAREMMA"
